book name,Web Url,Price,Discount
Python 從網路爬蟲到生活應用超實務：人工智慧世代必備的資料擷取術,https://www.books.com.tw/products/0010877656?loc=P_0005_057,558,9
我的Minecraft DIY大事典：1.14村莊與掠奪完全攻略,https://www.books.com.tw/products/0010876864?loc=P_0005_058,288,9
Painter 武功祕笈,https://www.books.com.tw/products/0010879717?loc=P_0005_059,523,95
精通 SolidWorks 2019：基礎篇,https://www.books.com.tw/products/0010879718?loc=P_0005_060,551,95
Project 2019 實戰演練,https://www.books.com.tw/products/0010879719?loc=P_0005_061,523,95
AutoCAD 2020 實戰演練：機械設計,https://www.books.com.tw/products/0010879720?loc=P_0005_062,646,95
SolidWorks 業界實戰以電腦輔助立體製圖丙級為例：基礎篇,https://www.books.com.tw/products/0010879722?loc=P_0005_063,523,95
快速學會 Office 資料處理,https://www.books.com.tw/products/0010879723?loc=P_0005_064,428,95
Illustrator CC 向量設計 高手,https://www.books.com.tw/products/0010879726?loc=P_0005_065,618,95
UniGraphics NX 製造設計 高手,https://www.books.com.tw/products/0010879729?loc=P_0005_066,618,95
跨領域學 Python：資料科學基礎養成,https://www.books.com.tw/products/0010876198?loc=P_0005_067,379,79
Photoshop x Illustrator前進平面設計的世界【暢銷回饋版】,https://www.books.com.tw/products/0010876473?loc=P_0005_068,405,9
金融人才×機器學習聯手出擊：專為FinTech領域打造的機器學習指南,https://www.books.com.tw/products/0010876490?loc=P_0005_069,621,9
JavaScript 精選16堂課：網頁程式設計實作【暢銷回饋版】,https://www.books.com.tw/products/0010876566?loc=P_0005_070,495,9
Arduino實作入門與專題應用,https://www.books.com.tw/products/0010876678?loc=P_0005_071,495,9
iOS 14程式設計實戰：Swift 5.3快速上手的開發技巧200+,https://www.books.com.tw/products/0010876906?loc=P_0005_072,458,79
Unreal Engine 4-虛擬實境開發-虛幻引擎激速入門(附光碟)(第二版),https://www.books.com.tw/products/0010877408?loc=P_0005_073,468,9
用TensorFlow玩轉大數據與量化交易(第二版),https://www.books.com.tw/products/0010877787?loc=P_0005_074,585,9
計算機科學的哲學：破解IT技術難題的秘密心法(第二版),https://www.books.com.tw/products/0010877791?loc=P_0005_075,414,9
WordPress&網頁設計會遇到的100個問題,https://www.books.com.tw/products/0010877106?loc=P_0005_076,364,7
Word 2019小創客輕鬆學,https://www.books.com.tw/products/0010875995?loc=P_0005_077,315,79
PowerPoint 2019小創客做簡報,https://www.books.com.tw/products/0010875997?loc=P_0005_078,315,79
Scratch 3小創客寫程式,https://www.books.com.tw/products/0010875998?loc=P_0005_079,315,79
Inkscape+Tinkercad小創客動手畫,https://www.books.com.tw/products/0010876001?loc=P_0005_080,277,79
Micro:bit小創客動手做,https://www.books.com.tw/products/0010876002?loc=P_0005_081,277,79
Google網際網路輕鬆學,https://www.books.com.tw/products/0010876004?loc=P_0005_082,315,79
威力導演輕鬆快樂學,https://www.books.com.tw/products/0010876007?loc=P_0005_083,277,79
如何學寫程式：Python篇 學會用「數學思維」寫程式,https://www.books.com.tw/products/0010876404?loc=P_0005_084,495,9
Excel VBA 職場高效應用實例,https://www.books.com.tw/products/0010877109?loc=P_0005_085,350,7
這是一本SketchUp to LayOut的書：用一半時間畫兩套彩色施工圖,https://www.books.com.tw/products/0010877736?loc=P_0005_086,882,9
零信任網路：在不受信任的網路中建構安全系統,https://www.books.com.tw/products/0010876562?loc=P_0005_087,379,79
Youtube+FB+IG社群媒體操作經營活用術：掌握目標客群‧必殺網路行銷‧活絡網紅經濟‧解析廣告成效,https://www.books.com.tw/products/0010876456?loc=P_0005_088,450,9
ERP企業資源規劃實務200講,https://www.books.com.tw/products/0010876489?loc=P_0005_089,351,9
中老年人快樂學電腦(Windows 10+Office 2019/2016)《大字大圖好閱讀，教學影片好上手》,https://www.books.com.tw/products/0010876356?loc=P_0005_090,432,9
「海洋生物超有事!」VR虛擬實境漫畫創作及技術介紹,https://www.books.com.tw/products/0010881920?loc=P_0005_091,285,95
深度學習：演算法工程師帶你去面試--28個矽谷AI大師教你100大深度學習問題(全彩印刷),https://www.books.com.tw/products/0010875789?loc=P_0005_092,792,9
Flag’s 旗標創客‧自造者工作坊 Unity × 遊戲手把 虛實整合互動遊戲設計,https://www.books.com.tw/products/0010875994?loc=P_0005_093,1342,79
MongoDB技術手冊第三版,https://www.books.com.tw/products/0010876210?loc=P_0005_094,616,79
第一次學數位行銷就上手：SEO x FB x IG x YouTube x LINE整合大作戰,https://www.books.com.tw/products/0010876214?loc=P_0005_095,300,79
預測之美：機器學習及深度學習真實生活應用,https://www.books.com.tw/products/0010875598?loc=P_0005_096,616,79
還在LAMP?用最流行的MEAN進行全端網頁開發,https://www.books.com.tw/products/0010875652?loc=P_0005_097,702,9
30分鐘就讀懂：機器學習從數學開始,https://www.books.com.tw/products/0010875772?loc=P_0005_098,466,79
HTML5‧CSS3 最強圖解實戰講座 【第二版】,https://www.books.com.tw/products/0010874876?loc=P_0005_099,490,79
